query	afdb	neighborhood_name	prediction	VFID	vf_category	VF_subcategory_high	gff	ANI_organism	genus	VF subcategory_low	pident	alntmscore	lddt	qcov
VFG042784(gb|WP_000253757)	AF-A0A4D9I7T4-F1-model_v4	WP_192514680.1!!!GCF_014862905.1_ASM1486290v1!!!NZ_JACZNM010000189.1!!!1-6381	Adherence	VF0174	Adherence	Fimbrial adhesin	GCF_014862905.1	Escherichia coli	Escherichia	 Type IVb pili (T4bP)	66.1	0.9121	0.9037	0.995
VFG000913(gb|WP_000237770)	AF-A0A0H2V619-F1-model_v4	WP_000237770.1!!!GCF_000776415.1_ASM77641v1!!!NZ_JSGL01000065.1!!!540-6371	Adherence	VF0224	Adherence	Fimbrial adhesin	GCF_000776415.1	Escherichia coli	Escherichia	 Adhesive pili of the chaperone-usher family	100.0	0.9735	0.995	1.0
VFG000913(gb|WP_000237770)	AF-A0A2J4PTM1-F1-model_v4	WP_177339592.1!!!GCF_015356395.1_ASM1535639v1!!!NZ_JACYGP010000007.1!!!58400-87789	Adherence	VF0224	Adherence	Fimbrial adhesin	GCF_015356395.1	Klebsiella michiganensis	Klebsiella	 Adhesive pili of the chaperone-usher family	41.5	0.928	0.8963	0.926
VFG000456(gb|NP_462541)	AF-A0A7Z8DXB4-F1-model_v4	WP_000758162.1!!!GCF_001514905.1_ASM151490v1!!!NZ_BBVV01000019.1!!!32095-61048	Adherence	VF0105	Adherence	Fimbrial adhesin	GCF_001514905.1	Escherichia albertii	Escherichia	 Adhesive pili of the chaperone-usher family	75.5	0.9278	0.962	0.978
VFG000882(gb|WP_000597756)	AF-Q9KHX7-F1-model_v4	WP_000597758.1!!!GCF_036863195.1_ASM3686319v1!!!NZ_JAYXLB010000047.1!!!84-11970	Adherence	VF0220	Adherence	Fimbrial adhesin	GCF_036863195.1	Escherichia coli	Escherichia	 Adhesive pili of the chaperone-usher family	79.7	0.9383	0.9473	0.941
VFG000882(gb|WP_000597756)	AF-Q9RR34-F1-model_v4	WP_000597755.1!!!GCF_009497195.1_ASM949719v1!!!NZ_WIKF01000002.1!!!301-14005	Adherence	VF0220	Adherence	Fimbrial adhesin	GCF_009497195.1	Escherichia coli	Escherichia	 Adhesive pili of the chaperone-usher family	73.8	0.9114	0.9252	0.941
VFG000882(gb|WP_000597756)	AF-A0A2X1LBU1-F1-model_v4	WP_021521858.1!!!GCF_002465485.1_ASM246548v1!!!NZ_NJKL01000078.1!!!184-10656	Adherence	VF0220	Adherence	Fimbrial adhesin	GCF_002465485.1	Escherichia coli	Escherichia	 Adhesive pili of the chaperone-usher family	65.6	0.9121	0.918	1.0
VFG000882(gb|WP_000597756)	AF-A0A4V5QHW5-F1-model_v4	WP_001535784.1!!!GCF_905330875.2_AI2949v1_cpp!!!NZ_OW968277.1!!!2356569-2382413	Adherence	VF0220	Adherence	Fimbrial adhesin	GCF_905330875.2	Escherichia coli	Escherichia	 Adhesive pili of the chaperone-usher family	62.9	0.904	0.9029	1.0
VFG039196(gb|NP_820627)	AF-A0A378JP93-F1-model_v4	WP_058476684.1!!!GCF_900452835.1_50592_D01!!!NZ_UGOY01000001.1!!!3273950-3304256	Type IV secretion system (T4SS)	VF0503	Type IV secretion system (T4SS)	Type IV secretion system (T4SS)	GCF_900452835.1	Legionella steigerwaltii	Legionella	 Type IVB (T4BSS) components	65.9	0.9698	0.9497	0.978
VFG000194(gb|NP_250390)	AF-A0A5B2V4P7-F1-model_v4	WP_094949075.1!!!GCF_002263605.1_ASM226360v1!!!NZ_NMRE01000003.1!!!123837-137137	Type III secretion system (T3SS)	VF0083	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_002263605.1	Pseudomonas gelidaquae	Pseudomonas	 Type III secretion system (T3SS)	63.3	0.9899	0.9538	0.978
VFG000194(gb|NP_250390)	AF-A0A5B0X6J3-F1-model_v4	WP_036775304.1!!!GCF_963893085.1_ena-yuan-GCF_018448925.1!!!NZ_CAWQBW010000007.1!!!49378-62308	Type III secretion system (T3SS)	VF0083	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_963893085.1	Photorhabdus akhurstii	Photorhabdus	 Type III secretion system (T3SS)	63.0	0.97	0.9314	1.0
VFG000194(gb|NP_250390)	AF-A0A1D9IKW9-F1-model_v4	WP_047278258.1!!!GCF_002269075.1_ASM226907v1!!!NZ_NQKF01000002.1!!!284528-303180	Type III secretion system (T3SS)	VF0083	Type III secretion system (T3SS)	Type III secretion system (T3SS)	GCF_002269075.1	Pseudomonas lundensis	Pseudomonas	 Type III secretion system (T3SS)	56.6	0.9825	0.94	0.978
